Row,name,obsid,ra,dec,start_time,processing_date,xrt_exposure,uvot_exposure,bat_exposure,archive_date,_offset,"""dec2"""
685,XMMUJ004243.6+412519,32286021,00 42 49.86,41 24 45.3,2014-08-28T13:55:59,2018-03-02T00:00:00,3399.145,3399.121,3412,08/09/2014,8.6724,+41 24 45.3
686,M31N2015-09c,34101011,00 43 09.23,41 24 48.6,2015-12-16T15:31:57,2015-12-26T00:00:00,1737.584,1959.557,1976,27/12/2015,9.8446,+41 24 48.6
687,M31N2015-09c,34101013,00 43 23.80,41 24 49.2,2016-07-25T05:56:58,2016-08-04T00:00:00,3518.002,3512.76,3536,05/08/2016,11.4064,+41 24 49.2
688,M31_MOS002,80846001,00 44 10.59,41 24 53.0,2015-02-08T21:09:59,2015-02-19T00:00:00,5386.502,5351.385,5442,19/02/2015,18.3952,+41 24 53.0
689,XMMUJ004243.6+412519,32286038,00 42 51.45,41 24 55.7,2015-06-20T18:20:59,2015-06-30T00:00:00,1946.286,1945.799,1961,01/07/2015,8.8848,+41 24 55.7
690,XMMUJ004243.6+412519,32286014,00 42 31.87,41 24 56.8,2014-08-21T20:29:59,2018-03-01T00:00:00,3481.09,3465.065,3499,01/09/2014,9.1093,+41 24 56.8
691,M31_MOS002,80846002,00 44 24.44,41 25 14.3,2015-02-10T05:06:59,2015-02-20T00:00:00,9706.62,9701.6,9753,21/02/2015,20.8706,+41 25 14.3
692,XMMUJ004243.6+412519,32286040,00 42 50.28,41 25 17.7,2015-06-22T13:13:45,2015-07-02T00:00:00,1175.921,1174.509,1182,03/07/2015,9.2183,+41 25 17.7
693,XMMUJ004243.6+412519,32286042,00 42 47.66,41 25 25.5,2015-06-24T02:21:59,2015-07-04T00:00:00,1399.579,1395.432,1418,05/07/2015,9.3024,+41 25 25.5
694,XMMUJ004243.6+412519,32286034,00 42 37.87,41 25 28.0,2015-06-16T20:05:21,2015-06-26T00:00:00,1145.821,1144.864,1160,27/06/2015,9.402,+41 25 28.0
695,XMMUJ004243.6+412519,32286033,00 42 53.85,41 25 30.4,2015-06-15T05:49:59,2015-06-25T00:00:00,702.145,697.733,713,26/06/2015,9.5302,+41 25 30.4
696,XMMUJ004243.6+412519,32286032,00 42 46.82,41 25 35.3,2015-06-14T13:43:59,2015-06-24T00:00:00,2049.075,2048.482,2064,25/06/2015,9.4562,+41 25 35.3
697,XMMUJ004243.6+412519,32286012,00 42 51.42,41 25 38.9,2012-05-28T11:53:00,2017-04-25T00:00:00,4138.518,4132.016,4155,08/06/2012,9.596,+41 25 38.9
698,XMMUJ004243.6+412519,32286039,00 42 44.49,41 25 39.4,2015-06-21T03:43:59,2015-07-01T00:00:00,1495.686,1494.464,1512,02/07/2015,9.5133,+41 25 39.4
699,XMMUJ004243.6+412519,32286016,00 42 39.22,41 25 39.5,2014-08-22T12:21:58,2018-03-01T00:00:00,3462.492,3460.828,3503,02/09/2014,9.5631,+41 25 39.5
700,M31_MOS002,80846003,00 44 24.23,41 25 41.7,2015-02-11T00:16:59,2015-02-21T00:00:00,8690.573,8684.53,8729,22/02/2015,21.0385,+41 25 41.7
701,XMMUJ004243.6+412519,32286013,00 42 34.97,41 25 44.2,2014-08-20T10:52:59,2018-03-01T00:00:00,3480.418,3478.293,3502,31/08/2014,9.7521,+41 25 44.2
702,XMMUJ004243.6+412519,32286031,00 42 45.76,41 25 46.9,2015-06-13T15:29:59,2015-06-23T00:00:00,1879.78,1878.2,1893,24/06/2015,9.6411,+41 25 46.9
703,M31N2013-01b,32697002,00 43 47.38,41 25 50.3,2013-02-05T19:48:59,2017-11-03T00:00:00,3553.499,3604.676,0,16/02/2013,15.2942,+41 25 50.3
704,XMMUJ004243.6+412519,32286030,00 42 44.56,41 25 52.0,2015-06-12T10:44:58,2015-06-22T00:00:00,2001.206,2001.746,2023,23/06/2015,9.7236,+41 25 52.0
705,M31_C5,37720001,00 43 35.61,41 26 10.2,2008-05-26T23:08:01,2015-10-03T00:00:00,2158.326,2135.191,2191,06/06/2008,13.8938,+41 26 10.2
706,XMMUJ004243.6+412519,32286041,00 42 49.66,41 26 13.0,2015-06-23T08:15:59,2015-07-03T00:00:00,1709.968,1706.395,1133,04/07/2015,10.1214,+41 26 13.0
707,M31_MOS002,80846005,00 44 17.91,41 26 14.4,2015-03-08T05:29:59,2015-03-18T00:00:00,2837.494,2836.498,2853,19/03/2015,20.2539,+41 26 14.4
708,M31_MOS002,80846004,00 44 25.61,41 26 16.4,2015-03-06T16:54:59,2015-03-16T00:00:00,15046.185,15042.271,15132,17/03/2015,21.533,+41 26 16.4
709,XMMUJ004243.6+412519,32286037,00 42 46.30,41 26 19.5,2015-06-19T07:05:59,2015-06-29T00:00:00,1839.01,1836.981,1852,30/06/2015,10.1877,+41 26 19.5
710,M31N2015-09c,34101012,00 43 13.75,41 26 32.8,2016-01-18T00:28:58,2016-01-28T00:00:00,3644.291,3640.853,3662,29/01/2016,11.7751,+41 26 32.8
711,M31_C5,37720002,00 43 42.65,41 27 19.7,2008-05-28T20:15:01,2015-10-03T00:00:00,2977.005,2944.852,3028,08/06/2008,15.6456,+41 27 19.7
712,M31N2013-01b,32697001,00 43 58.99,41 27 21.4,2013-02-01T11:40:59,2017-11-03T00:00:00,3848.704,3844.962,0,12/02/2013,17.9397,+41 27 21.4
713,XMMUJ004243.6+412519,32286011,00 42 40.40,41 27 32.4,2012-03-07T09:57:59,2017-04-16T00:00:00,3113.933,3108.028,3124,18/03/2012,11.4199,+41 27 32.4
714,XMMUJ004243.6+412519,32286007,00 42 38.44,41 27 42.3,2012-03-03T00:05:00,2017-04-16T00:00:00,7141.654,7134.503,7172,14/03/2012,11.6136,+41 27 42.3
715,XMMUJ004243.6+412519,32286003,00 42 40.21,41 27 51.8,2012-02-23T18:46:00,2017-04-15T00:00:00,3358.929,3356.026,3379,05/03/2012,11.7449,+41 27 51.8
716,XMMUJ004243.6+412519,32286009,00 42 43.71,41 27 56.8,2012-03-02T02:59:34,2017-04-16T00:00:00,2994.013,2987.615,3001,13/03/2012,11.8029,+41 27 56.8
717,XMMUJ004243.6+412519,32286010,00 42 40.35,41 28 07.2,2012-03-04T04:49:00,2017-04-16T00:00:00,5671.137,5658.586,5718,15/03/2012,11.999,+41 28 07.2
718,M31N2013-01b,32697007,00 43 57.78,41 28 21.2,2013-02-26T12:36:58,2017-11-04T00:00:00,8881.061,8869.507,8914,09/03/2013,18.4079,+41 28 21.2
719,M31N2013-01b,32697003,00 43 48.60,41 28 24.9,2013-02-09T13:42:58,2017-11-03T00:00:00,3918.903,3915.352,3938,20/02/2013,17.2008,+41 28 24.9
720,M31N2013-01b,32697006,00 43 54.69,41 28 44.0,2013-02-24T01:14:13,2017-11-04T00:00:00,5974.496,5969.041,6003,07/03/2013,18.2374,+41 28 44.0
721,XMMUJ004243.6+412519,32286006,00 42 36.86,41 28 45.6,2012-03-02T04:50:00,2017-04-16T00:00:00,6320.283,6316.236,6345,13/03/2012,12.6943,+41 28 45.6
722,XMMUJ004243.6+412519,32286005,00 42 43.24,41 28 52.6,2012-02-28T04:48:00,2017-04-16T00:00:00,3043.499,3026.804,3051,10/03/2012,12.7344,+41 28 52.6
723,M31N2013-01b,32697004,00 43 59.49,41 28 58.8,2013-02-13T07:39:59,2017-11-04T00:00:00,3827.707,3823.745,3849,24/02/2013,19.0644,+41 28 58.8
724,XMMUJ004243.6+412519,32286002,00 42 40.40,41 29 10.1,2012-02-19T00:43:00,2017-04-15T00:00:00,3950.001,3940.176,3993,01/03/2012,13.0449,+41 29 10.1
725,XMMUJ004243.6+412519,32286008,00 42 33.77,41 29 24.1,2012-03-03T01:38:00,2017-04-16T00:00:00,2713.836,2702.028,2725,14/03/2012,13.4051,+41 29 24.1
726,XMMUJ004243.6+412519,32286004,00 42 40.17,41 29 46.0,2012-02-24T13:51:00,2017-04-15T00:00:00,538.907,534.181,549,06/03/2012,13.6453,+41 29 46.0
727,M31N2013-01b,32697005,00 43 56.60,41 30 07.2,2013-02-17T04:27:59,2017-11-04T00:00:00,3986.605,3984.175,4007,28/02/2013,19.4672,+41 30 07.2
728,BOL_135,88163001,00 42 56.16,41 30 44.7,2017-08-04T16:35:57,2017-08-14T00:00:00,1892.956,1892.201,1907,15/08/2017,14.7681,+41 30 44.7
729,M31_N4,37713001,00 42 23.28,41 31 11.2,2008-07-06T19:20:00,2015-10-14T00:00:00,4437.58,4395.055,4540,17/07/2008,15.5528,+41 31 11.2
730,M31N2013-01b,32697008,00 44 24.67,41 31 33.7,2013-03-07T03:15:59,2017-11-04T00:00:00,5190.102,3571.93,5214,18/03/2013,24.3229,+41 31 33.7
731,BOL_45,88965002,00 41 22.75,41 32 10.9,2019-11-10T17:18:34,2019-11-20T00:00:00,2033.19,2008.234,2084,21/11/2019,22.1662,+41 32 10.9
732,"Non-GRB (10.477, 41.554)",32157001,00 41 54.54,41 33 13.3,2011-11-01T15:43:36,2016-10-13T00:00:00,52.644,50.586,58,12/11/2011,19.4648,+41 33 13.3
733,M31_Field_I,88739001,00 43 33.46,41 33 14.3,2018-12-20T05:05:35,2018-12-30T00:00:00,2558.676,2557.541,2580,31/12/2018,19.4165,+41 33 14.3
734,"Burst (10.432, 41.560)",600114001,00 41 43.60,41 33 37.0,2014-05-28T01:54:59,2018-02-19T00:00:00,11373.583,11301.548,11504,08/06/2014,20.8572,+41 33 37.0
735,"Non-GRB (10.916, 41.561)",32158001,00 43 39.83,41 33 37.9,2011-11-01T15:45:23,2016-10-13T00:00:00,82.731,81.213,88,12/11/2011,20.3472,+41 33 37.9
736,"Non-GRB (10.914, 41.563)",32166001,00 43 39.39,41 33 46.6,2011-11-01T19:13:53,2016-10-13T00:00:00,471.581,469.142,483,12/11/2011,20.4296,+41 33 46.6
737,"Non-GRB (10.463, 41.565)",32165001,00 41 51.8,41 33 54.1,2011-11-01T19:08:44,2016-10-13T00:00:00,463.833,461.253,476,12/11/2011,20.3734,+41 33 54.1
738,Automatic Target,600114000,00 41 35.22,41 34 03.4,2014-05-27T21:08:38,2018-02-19T00:00:00,6297.546,6172.223,10711.698,07/06/2014,22.1105,+41 34 03.4
739,BOL_45,88965001,00 41 50.67,41 34 03.8,2019-08-02T23:46:34,2019-08-12T00:00:00,2146.14,2059.25,2162,13/08/2019,20.5525,+41 34 03.8
740,M31,10686035,00 41 34.61,41 19 21.8,2023-03-10T07:02:38,2023-03-20T00:00:00,1662.354,1663.235,1671,2023-03-21,13.4895,+41 19 21.8
